val_loss,step,epoch,val_acc,test_acc,test_loss
0.4114469587802887,859,0,0.8461999893188477,,
0.4134517014026642,1719,1,0.8450000286102295,,
0.409385085105896,2579,2,0.8399999737739563,,
0.39881953597068787,3439,3,0.8489999771118164,,
0.4118839502334595,4299,4,0.8460000157356262,,
0.40359336137771606,5159,5,0.8582000136375427,,
0.4334856867790222,6019,6,0.8539999723434448,,
0.45560532808303833,6879,7,0.8515999913215637,,
0.47008389234542847,7739,8,0.8519999980926514,,
0.4686776399612427,8599,9,0.8628000020980835,,
,8600,10,,0.8618999719619751,0.48708978295326233
